Image Name,Index class,Index prefix,Index name,2022
page_1.png,Sustainability,Driving,Sustainability Report,N/A
page_2.png,,,,
page_3.png,Group Overview,Letter to Stakeholders,0,4
page_4.png,Climate Change,COP27,United Nations Climate Change Conference,
page_5.png,Environmental,Reduction in Scope 1 and 2 emissions (%),End of 2022,17.60%
page_6.png,,,,
page_7.png,,,,
page_8.png,Carbon Emissions Reduction,Reduction in Scope 1 and 2 carbon emissions from 2020 baseline,17.60%,N/A
page_9.png,Sustainability,Dow Jones Sustainability Indices,"DJ Sustainability World Index, DJSI Asia Pacific",Top 10% of largest companies globally
page_10.png,Revenue,Total FY 2022 Revenue,Total Revenue,$6.6b
page_11.png,Region,Europe,Revenue,$13m
page_12.png,,,,
page_13.png,Environmental,Material ESG factors,Climate Action and Environmental Management,N/A
page_14.png,,,,
page_15.png,Group Structure,Keppel Group's Sustainability Management Structure,Committee hierarchy,
page_16.png,,,,
page_17.png,,,,
page_18.png,Environmental,Relevant ESG Topics,18 topics listed,Not applicable
page_19.png,Environmental,Climate Action and Environmental Management,Climate Action,
page_20.png,Environmental,Reduction in absolute Scope 1 and Scope 2 carbon emissions compared to 2020 baseline,Group,N/A
page_21.png,Economic Contribution to Society,Net profit,,927 million
page_22.png,People and Community,Employee Engagement Survey score,Global,84%
page_23.png,Community Development,Social investment spending and industry advancement,Group investment,Around $4.3 million
page_24.png,,,,
page_25.png,Strategy,Group investment in green building,Green Mark-certified properties in Singapore,92
page_26.png,,,,
page_27.png,Environmental,Absolute reduction of Scope 1 and 2 emissions,2022 compared to 2020 baseline,17.60%
page_28.png,Economic,Scenario planning,Potential global warming trajectories,Unavailable
page_29.png,,,,
page_30.png,Environmental,Scope 1 and 2 carbon emissions reduction by 2030,Keppel Group,
page_31.png,Energy,Annual energy yield (kWh),Keppel Bay Tower,"100,000"
page_32.png,Environmental,Renewable energy assets,Portfolio increase,2.6 GW
page_33.png,Environmental,CO2 emissions Scope 1 production facilities (t CO2 eq),Scope 1 and 2 emissions,100%
page_34.png,Climate Change Mitigation and Adaptation,Renewable Energy,Renewables portfolio,1.1 GW to 2.6 GW
page_35.png,,,,
