Image Name,Index class,Index prefix,Index name,2024
page_1.png,Sustainability,Report Year,First Solar,2024
page_2.png,Environmental Metrics and Targets,Greenhouse Gas Emissions,,
page_3.png,,,,
page_4.png,Sustainability,First Solar,Years of Better Solar,
page_5.png,Energy Production,Annual nameplate capacity,United States,14 gigawatts
page_6.png,,,,
page_7.png,Environmental,Water recycled (million liters),Annual recycling,318
page_8.png,Production,Produced,Energy,12.1 GW
page_9.png,,,,
page_10.png,Manufacturing Capacity,Annual capacity,Global manufacturing,1.5 megawatts (MW)
page_11.png,Environmental,CO2 eq displacement,Annual projection,84M
page_12.png,Environmental,Lifetime avoided emissions,First Solar modules,1.14 billion metric tons CO2 eq
page_13.png,N/A,N/A,N/A,N/A
page_14.png,Certification,EPEAT Silver with Climate+ designation,First Solar's Series 6 Plus and Series 7 TR1 products,
page_15.png,Environmental,Lifetime Avoided Emissions of 3.5GW of PV modules,First Solar Series 7 (India),103 million metric tons CO鈧?eq
page_16.png,Environmental,Lowest carbon footprint (gCO2eq/Wp),c-Si (China),790
page_17.png,Environmental,Carbon footprint reduction,Series 7 modules vs Series 6 modules,Up to 22% lower
page_18.png,,,,
page_19.png,Commercial Operations,MW of CdTe PV modules sold,Solar Projects,60000
page_20.png,Recycling,Recovery Rate,High-Value Recycling,90%
page_21.png,Recycling,Designed annual recycling capacity,Global recycling facilities,88000 metric tons
page_22.png,,,,
page_23.png,Environmental,RE100,Lowest environmental footprint in the industry,
page_24.png,,,,
page_25.png,Climate-Related Risks,CLIMATE-RELATED PHYSICAL IMPACTS ON OPERATIONS,Decreased revenues due to reduced production capacity,N/A
page_26.png,Climate-Related Supply Chain Risks,Decreased revenues due to reduced production capacity,Risk Management Strategy,"As part of our sourcing strategy, we partner with many suppliers that are near our manufacturing locations, which is intended to reduce the transportation costs, environmental footprint, and lead times for these materials."
page_27.png,Environmental,CdTe PV production,Annual production potential,100GW per year
page_28.png,Climate-Related Opportunities,Market Expansion,India,3.2 GW
page_29.png,,,,
page_30.png,Environmental,Metrics & Targets,,
page_31.png,Energy,Energy reduction,Global energy usage per watt,
page_32.png,Environmental,Scope 1 & 2 GHG Emissions (Thousand metric tons CO2-eq),Actual,788
page_33.png,Energy,Onsite PV installations (kWh),Global production sites,7500000
page_34.png,Environmental,Total installed nameplate production capacity (GW),All facilities,16.6
page_35.png,Environmental,Scope 1 + 2 Emissions Intensity (MT CO2 eq/MWh),2023,65
page_36.png,Environmental Metrics and Targets,Manufacturing energy intensity (kWh per Watt),Annual energy intensity values,
page_37.png,Environmental Metrics and Targets,Manufacturing Water Intensity (Liters per Watt),Water consumption per watt produced,1.9
page_38.png,Environmental,Net Zero Manufacturing Water Withdrawal in India,Percentage of water withdrawals in water-stressed locations,8%
page_39.png,Environmental Metrics and Targets,grams per watt,Manufacturing Waste Intensity,35.1
page_40.png,Waste by Type and Disposal,Metric Tons,Total Waste,
page_41.png,Environmental,Manufacturing waste recycled (%),First Solar facilities,
page_42.png,Environmental Metrics and Targets,Total collected (metric tons),Metric tons,"31,173"
page_43.png,Environmental,Biodiversity Protection,First Solar India,12000 saplings
page_44.png,Supply Chain,Responsible Supply Chain Management,,
page_45.png,Financial,Global supply chain spend,2023 global supply chain spend,$3.17B
page_46.png,Projected Operational Activities,"Total jobs (includes direct, indirect, and induced)",2026,"30,060"
page_47.png,Audits,On-site audits,Supplier sites,
page_48.png,,,,
page_49.png,Social,GRI Indicator,414-1 New suppliers that were screened using social criteria,100%
page_50.png,Responsible Supply Chain Management,First Solar Sustainability Report,,
page_51.png,,,,
page_52.png,,,,
page_53.png,,,,
page_54.png,Employment,Associates by Region in 2023,North America,41%
page_55.png,Workforce Summary,NUMBER OF EMPLOYEES (HEADCOUNT/FTE),Total,"6,957"
page_56.png,,,,
page_57.png,Social Responsibility Report,Talent Acquisition,First Solar's EOE policy,Several hundred women hired
page_58.png,Engagement,Global inclusion index,,79%
page_59.png,Community Impact,Investment in revitalizing areas,Efforts in 2021,$11 million
page_60.png,Social Responsibility,Global Women's Network (GLOW) launched,First Solar,
page_61.png,Occupational Health and Safety,"Recordable Injury Rate (per 200,000 hours)",Recordable Injury Rate,
page_62.png,Safety,Injuries by Type,"Cut, laceration, or puncture",25%
page_63.png,Global Charitable Giving Program,Manufacturing and Office Site Donations,Community,"$209,868 "
page_64.png,Corporate Giving Initiatives,NGO/PARTNER,Black Girls Do Engineer Corporation,"$10,000 grant"
page_65.png,NGO/PARTNER,Glass City Community Solar,"Awarded $15,000 grant",N/A
page_66.png,Governance,,,
page_67.png,Governance,Board of Directors,First Solar鈥檚 business operations,10 directors
page_68.png,,,,
page_69.png,,,,
page_70.png,Governance,First Solar Political Action Committee,First Solar PAC,N/A
page_71.png,Political Contributions,Candidate Office,Federal Candidates,"[{'Federal Candidate': 'Sherrod Brown', 'Candidate Office': 'US Senate', 'Full Year 2023 Contributions': '$2,000'}, {'Federal Candidate': 'Ron Wyden', 'Candidate Office': 'US Senate', 'Full Year 2023 Contributions': '$1,000'}, {'Federal Candidate': 'Jason Smith', 'Candidate Office': 'US House of Representatives', 'Full Year 2023 Contributions': '$1,000'}, {'Federal Candidate': 'Bill Posey', 'Candidate Office': 'US House of Representatives', 'Full Year 2023 Contributions': '$1,000'}, {'Federal Candidate': 'Marcie Kaptur', 'Candidate Office': 'US House of Representatives', 'Full Year 2023 Contributions': '$1,500'}]"
page_72.png,,,,
page_73.png,ESG Recognition,Best ESG Companies of 2022,Investor鈥檚 Business Daily,#6 in Energy category and #6 Overall Leader for commitment to sustainable and ethical business practices
page_74.png,,,,
page_75.png,,,,
page_76.png,Not specified,Period span,"Jan. 1, 2023 to Dec. 31, 2023",Not applicable
page_77.png,Sustainability,NSF/ANSI,457,
page_78.png,Stakeholder Engagement,Stakeholder Groups,"[{'Index Group': 'Employees', 'How We Engage': 'Training Sessions, Meetings, Newsletters, Surveys, Global Webcasts and Town Halls, Sustainability Ambassador program', 'Engagement Frequency': 'Daily, ongoing basis', 'Key Topics and Concerns': ['Circular Economy', 'Community Impact', 'Energy & Emissions', 'Environmental compliance & eco-efficiency', 'Labor practices', 'Talent attraction & retention', 'Training & education']}, {'Index Group': 'Customers/Technical Advisors', 'How We Engage': 'Meetings, Seminars & Conferences, Technical Workshops, Product Presentations', 'Engagement Frequency': 'Ongoing basis', 'Key Topics and Concerns': ['Circular economy', 'Data security & privacy', 'Economic performance', 'Energy & emissions', 'Environmental compliance & eco-efficiency', 'Hazardous materials', 'Public policy', 'Quality & reliability', 'Responsible sourcing & human rights', 'Sustainable products & innovation']}, {'Index Group': 'Investors/Stockholders', 'How We Engage': 'Meetings, Earnings Calls, Analyst Days, ESG engagement calls', 'Engagement Frequency': 'Quarterly/annually, ongoing basis', 'Key Topics and Concerns': ['Economic performance', 'Energy & emissions', 'Inclusion, diversity & belonging', 'Governance & accountability', 'Labor practices', 'Responsible sourcing & human rights']}, {'Index Group': 'Local Communities', 'How We Engage': 'Meetings & Town Councils, Presentations to Community Organizations, School Visits, Local Tours, Training Programs', 'Engagement Frequency': 'Ongoing basis', 'Key Topics and Concerns': ['Circular economy', 'Community Impact', 'Environmental compliance & eco-efficiency', 'Health & safety', 'Job creation', 'Quality & Reliability']}, {'Index Group': 'Government/Regulators', 'How We Engage': 'Meetings & Hearings, Conference Presentations, Seminars & Workshops, Committees, Tax Audits', 'Engagement Frequency': 'Ongoing basis', 'Key Topics and Concerns': ['Circular economy', 'Community Impact', 'Economic performance', 'Energy & emissions', 'Environmental compliance & eco-efficiency', 'Ethics & compliance', 'Hazardous materials', 'Public policy', 'Quality & reliability']}]",
page_79.png,,,,
page_80.png,Key Performance Indicators,Net Sales ($ Billion),Global (Equity Share),N/A
page_81.png,,,,
page_82.png,Disposed Hazardous (Metric Tons),,,
page_83.png,Key Performance Indicators,Unadjusted Male-Female Pay Gap (%),Global,0%
page_84.png,Governance,Board's oversight of climate-related risks and opportunities,Sustainability report: ESG Governance,
